tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
1975-2028,Aviles,Aviles,Clay,32,A,19751005,43.555444,-5.922247
1976-2028,Aviles,Aviles,Clay,32,A,19761004,43.555444,-5.922247
1983-726,Bahia,Bahia,Hard,32,A,19831121,-11.7461893753523,-42.0893821329774
1982-726,Bahia,Bahia,Carpet,32,A,19821122,-11.7461893753523,-42.0893821329774
1968-9307,Bakersfield WCT,Bakersfield,Carpet,8,A,19680401,35.373871,-119.019464
1972-816,Baltimore,Baltimore,Hard,16,A,19720109,39.290882,-76.610759
1977-816,Baltimore,Baltimore,Carpet,32,A,19770117,39.290882,-76.610759
1974-816,Baltimore,Baltimore,Carpet,32,A,19740203,39.290882,-76.610759
1969-9293,Baltimore,Baltimore,Grass,6,A,19690821,39.290882,-76.610759
1975-816,Baltimore,Baltimore,Carpet,16,A,19750118,39.290882,-76.610759
1976-816,Baltimore,Baltimore,Carpet,16,A,19760125,39.290882,-76.610759
1978-816,Baltimore,Baltimore,Carpet,32,A,19780122,39.290882,-76.610759
1973-816,Baltimore,Baltimore,Hard,16,A,19730103,39.290882,-76.610759
1979-816,Baltimore WCT,Baltimore,Carpet,32,A,19790115,39.290882,-76.610759
1982-816,Baltimore WCT,Baltimore,Carpet,16,A,19821101,39.290882,-76.610759
1980-816,Baltimore WCT,Baltimore,Carpet,32,A,19800114,39.290882,-76.610759
1968-9316,Baltimore WCT,Baltimore,Carpet,8,A,19680531,39.290882,-76.610759
1976-2017,Bangalore,Bangalore,Clay,32,A,19761122,12.97912,77.5913
2009-1720,Bangkok,Bangkok,Hard,28,A,20090928,13.7524938,100.4935089
2004-1720,Bangkok,Bangkok,Hard,32,A,20040927,13.7524938,100.4935089
2012-1720,Bangkok,Bangkok,Hard,28,A,20120924,13.7524938,100.4935089
2007-1720,Bangkok,Bangkok,Hard,32,A,20070924,13.7524938,100.4935089
1982-334,Bangkok,Bangkok,Carpet,32,A,19821115,13.7524938,100.4935089
2013-1720,Bangkok,Bangkok,Hard,28,A,20130923,13.7524938,100.4935089
2003-1720,Bangkok,Bangkok,Hard,32,A,20030922,13.7524938,100.4935089
2008-1720,Bangkok,Bangkok,Hard,28,A,20080922,13.7524938,100.4935089
2006-1720,Bangkok,Bangkok,Hard,32,A,20060925,13.7524938,100.4935089
1981-334,Bangkok,Bangkok,Carpet,32,A,19811116,13.7524938,100.4935089
2005-1720,Bangkok,Bangkok,Hard,32,A,20050926,13.7524938,100.4935089
2011-1720,Bangkok,Bangkok,Hard,28,A,20110926,13.7524938,100.4935089
2010-1720,Bangkok,Bangkok,Hard,28,A,20100927,13.7524938,100.4935089
1980-334,Bangkok,Bangkok,Carpet,32,A,19801117,13.7524938,100.4935089
1975-425,Barcelona,Barcelona,Clay,64,A,19751013,41.382894,2.177432
2022-0425,Barcelona,Barcelona,Clay,64,A,20220418,41.382894,2.177432
1997-425,Barcelona,Barcelona,Clay,56,A,19970414,41.382894,2.177432
1972-425,Barcelona,Barcelona,Clay,32,A,19721023,41.382894,2.177432
1979-425,Barcelona,Barcelona,Clay,64,A,19791008,41.382894,2.177432
2019-0425,Barcelona,Barcelona,Clay,64,A,20190422,41.382894,2.177432
1970-425,Barcelona,Barcelona,Clay,64,A,19701003,41.382894,2.177432
1988-425,Barcelona,Barcelona,Clay,56,A,19880912,41.382894,2.177432
1984-425,Barcelona,Barcelona,Clay,64,A,19841001,41.382894,2.177432
1973-425,Barcelona,Barcelona,Clay,64,A,19731008,41.382894,2.177432
1981-425,Barcelona,Barcelona,Clay,64,A,19811005,41.382894,2.177432
