player_id;name_first;name_last;hand;dob;ioc;ioc_nation;height;wikidata_id
139550;Yasuhito;Tani;U;19791017;JPN;Japan;;
139551;Toshihira;Irisawa;U;;JPN;Japan;;
139552;Yoshinori;Watanabe;U;19791109;JPN;Japan;;
139553;Nobuhito;Miyazaki;U;19810715;JPN;Japan;;
139554;Satoshi;Aihara;U;19790416;JPN;Japan;;
139555;Osamu;Kobayashi;U;19541114;JPN;Japan;;
139556;Michihiro;Suzuki;U;19790723;JPN;Japan;;
139557;Yuichi;Higuchi;U;19700117;JPN;Japan;;
139558;Kan;Hashimoto;U;19750315;JPN;Japan;;
139559;Hidenori;Kobayashi;U;19591010;JPN;Japan;;
139560;Takehiko;Yoshioka;U;19700720;JPN;Japan;;
139561;Koji;Takeichi;U;19661121;JPN;Japan;;
139562;Hiroshi;Shinohara;U;19630127;JPN;Japan;;
139563;Fumiyuki;Suzuki;U;19781015;JPN;Japan;;
139564;Phillip;Emerson;U;19610228;USA;United States of America;;
139565;Willy;La Ferney;U;19661231;USA;United States of America;;
139566;Henning;Wistorf;U;;GER;Germany;;
139567;Wilbert;Cooley;U;19820803;USA;United States of America;;
139568;Ryan;Fitzwilliam;U;19720913;RSA;South Africa;;
139569;Jonathan;Baker;U;19731010;FRA;France;;
139570;Michael;Normandin;U;;USA;United States of America;;
139571;Tagawa;Daiso;U;19701218;USA;United States of America;;
139572;John;Bork;U;19750905;USA;United States of America;;
139573;Craig;Peterson;U;19730717;USA;United States of America;;
139574;Christian;Thall;U;19791109;SWE;Sweden;;
139575;Ricardo;Rivas;U;19770507;VEN;Venezuela;;
139576;Christopher;Ross;U;19731108;USA;United States of America;;
139577;Justin;Downey;U;19751204;AUS;Australia;;
139578;Janos;Kroyherr;U;19780602;AUS;Australia;;
139579;Daniel;Balog;U;19810412;GER;Germany;;
139580;Lee;Williams;U;;USA;United States of America;;
139581;Bernard;Audibert;U;19691202;CAN;Canada;;
139582;Reginald;Sorbara;U;19720726;FRA;France;;
139583;Olivier;Pernot;U;19750815;FRA;France;;
139584;Emmanuel;Vignaud;U;19681007;FRA;France;;
139585;Christian;Kozik;U;19750915;GER;Germany;;
139586;Nicolas;Pichon;U;19760219;FRA;France;;
139587;Julien;Favardin;U;19780210;FRA;France;;
139588;Thomas;Maigret;U;19780929;FRA;France;;
139589;Fabrice;Faugere;U;19711126;FRA;France;;
139590;Carl;Nielsen;U;19710105;AUS;Australia;;
139591;Samuel;Journet;U;19690509;FRA;France;;
139592;Jacob;Morrow;U;;USA;United States of America;;
